,playerID,yearID,nameLast,nameFirst,OPS,RBI/AB,DPH,FBH,BCA,R,BA,BABIP,bpcsum,name,bpcn
828,martijd02,2017,Martinez,J. D.,1.0660929334242217,0.24074074074074073,1.0,0.23809523809523808,0.6798029556650246,85,0.30324074074074076,0.3269961977186312,2.2247318679252253,"J. D.,Martinez",0.5006020595913181
1393,vottojo01,2017,Votto,Joey,1.0318486487033574,0.17889087656529518,1.08,0.20689655172413793,0.7990196078431373,106,0.32021466905187834,0.32062780269058294,2.216655684835928,"Joey,Votto",0.4925258765020206
1354,troutmi01,2018,Trout,Mike,1.0880876679363547,0.16772823779193205,0.5405405405405406,0.2033898305084746,0.75,101,0.31210191082802546,0.34615384615384615,2.209205736236761,"Mike,Trout",0.6302771559936655
596,harpebr03,2015,Harper,Bryce,1.1089970475502886,0.19001919385796545,0.2839506172839506,0.1619718309859155,0.6977040816326531,118,0.33013435700575816,0.3693181818181818,2.1586921540268227,"Bryce,Harper",0.4630476917268025
109,bettsmo01,2018,Betts,Mookie,1.078495364570283,0.15384615384615385,0.4578313253012048,0.18421052631578946,0.7420382165605095,129,0.34615384615384615,0.3681592039800995,2.1585902612927357,"Mookie,Betts",0.57966168104964
1353,troutmi01,2017,Trout,Mike,1.0711678294915952,0.1791044776119403,0.5681818181818182,0.11267605633802817,0.7870370370370371,92,0.30597014925373134,0.31802120141342755,2.149985400478601,"Mike,Trout",0.4258555921446938
829,martijd02,2018,Martinez,J. D.,1.0313311543242139,0.22847100175746923,0.5324675324675324,0.21100917431192662,0.6724738675958188,111,0.3304042179261863,0.37467700258397935,2.1432851979894285,"J. D.,Martinez",0.5643566177463328
1422,youngch04,2016,Young,Chris,0.8499598533017947,0.11822660098522167,0.45454545454545453,0.45,0.7181818181818181,29,0.27586206896551724,0.3263888888888889,2.1363682724688347,"Chris,Young",0.4389778954268475
103,beltrad01,2017,Beltre,Adrian,0.9153863601996068,0.2088235294117647,1.8571428571428572,0.3333333333333333,0.6555555555555556,47,0.31176470588235294,0.3212996389891697,2.11309877850026,"Adrian,Beltre",0.388968970166353
63,arenano01,2017,Arenado,Nolan,0.9589649230409767,0.2145214521452145,1.0,0.26666666666666666,0.6708333333333333,100,0.3085808580858086,0.31982942430703626,2.110986375186191,"Nolan,Arenado",0.38685656685228387
583,guyerbr01,2017,Guyer,Brandon,0.6535885167464115,0.12121212121212122,1.2857142857142858,0.5,0.8285714285714286,23,0.23636363636363636,0.30327868852459017,2.1033720665299613,"Brandon,Guyer",0.37924225819605417
1283,stantmi03,2017,Stanton,Giancarlo,1.007213330622283,0.22110552763819097,0.9365079365079365,0.1511627906976744,0.7175572519083969,123,0.2814070351758794,0.28835978835978837,2.0970389008665453,"Giancarlo,Stanton",0.37290909253263815
501,goldspa01,2015,Goldschmidt,Paul,1.0048234044391586,0.19400352733686066,0.25287356321839083,0.14556962025316456,0.7429340511440108,103,0.32098765432098764,0.382051282051282,2.0873306031731946,"Paul,Goldschmidt",0.39168614087317444
268,cozarza01,2017,Cozart,Zack,0.9325605900948366,0.14383561643835616,0.5555555555555556,0.32558139534883723,0.6830601092896175,80,0.2968036529680365,0.31176470588235294,2.0850377111716476,"Zack,Cozart",0.36090790283774044
1352,troutmi01,2016,Trout,Mike,0.9906197090424721,0.18214936247723132,1.0,0.14285714285714285,0.7639344262295082,123,0.3151183970856102,0.3711340206185567,2.0795606406063545,"Mike,Trout",0.38217026356436734
1419,yelicch01,2018,Yelich,Christian,1.0000187329062231,0.1916376306620209,0.847457627118644,0.14,0.7478991596638656,118,0.32578397212543553,0.3728395061728395,2.0795555232321097,"Christian,Yelich",0.500626942989014
381,encared01,2015,Encarnacion,Edwin,0.9286130536130536,0.21022727272727273,0.24277456647398843,0.1962962962962963,0.7408963585434174,94,0.2765151515151515,0.26683291770573564,2.07603298118004,"Edwin,Encarnacion",0.3803885188800198
922,murphda08,2016,Murphy,Daniel,0.9851379424155939,0.1958568738229755,1.8181818181818181,0.20408163265306123,0.6909090909090909,88,0.3465160075329567,0.3479212253829322,2.0759855398007216,"Daniel,Murphy",0.3785951627587345
1018,phamth01,2017,Pham,Tommy,0.9312551187551188,0.16441441441441443,0.34177215189873417,0.16176470588235295,0.8113207547169812,95,0.3063063063063063,0.36807817589576547,2.0687549937688674,"Tommy,Pham",0.34462518543496024
86,bautijo02,2015,Bautista,Jose,0.9127884790868216,0.20994475138121546,0.1686746987951807,0.17857142857142858,0.7647783251231527,108,0.2504604051565378,0.23703703703703705,2.0660829841626183,"Jose,Bautista",0.37043852186259807
1063,poseybu01,2017,Posey,Buster,0.8611863488624052,0.13562753036437247,0.8235294117647058,0.3333333333333333,0.7295081967213115,62,0.31983805668016196,0.34679334916864607,2.0596554092814223,"Buster,Posey",0.33552560094751516
1049,polangr01,2018,Polanco,Gregory,0.8391409652112929,0.175704989154013,8.0,0.375,0.6666666666666666,75,0.25379609544468545,0.2865853658536585,2.0565126210319726,"Gregory,Polanco",0.47758404078887695
43,altuvjo01,2017,Altuve,Jose,0.9574424985256033,0.13728813559322034,0.8313253012048193,0.28846153846153844,0.6721311475409836,112,0.34576271186440677,0.37037037037037035,2.055323320121346,"Jose,Altuve",0.3311935117874387
1392,vottojo01,2016,Votto,Joey,0.9846285453173651,0.17446043165467626,0.5454545454545454,0.17142857142857143,0.7243816254416962,101,0.3255395683453237,0.36626506024096384,2.0548991738423092,"Joey,Votto",0.3575087968003221
308,daviskh01,2017,Davis,Khris,0.8641581217888963,0.19434628975265017,0.5952380952380952,0.21212121212121213,0.782608695652174,91,0.24734982332155478,0.28955223880597014,2.0532343193149325,"Khris,Davis",0.32910451098102533
346,donaljo02,2015,Donaldson,Josh,0.9386869284316848,0.19838709677419356,0.22077922077922077,0.17712177121771217,0.7325153374233129,122,0.2967741935483871,0.31359649122807015,2.0467111338469035,"Josh,Donaldson",0.3510666715468833
1113,rendoan01,2017,Rendon,Anthony,0.9367703520531008,0.1968503937007874,0.5862068965517241,0.13333333333333333,0.7791164658634538,81,0.30118110236220474,0.3144963144963145,2.0460705449506755,"Anthony,Rendon",0.32194073661676836
1391,vottojo01,2015,Votto,Joey,1.0002772094251204,0.14678899082568808,0.22857142857142856,0.11578947368421053,0.7801418439716312,95,0.3137614678899083,0.370757180156658,2.04299751790665,"Joey,Votto",0.34735305560663
107,bettsmo01,2016,Betts,Mookie,0.8972398891063275,0.16815476190476192,1.028169014084507,0.24675324675324675,0.7276422764227642,122,0.31845238095238093,0.3221830985915493,2.0397901741871003,"Mookie,Betts",0.34239979714511315
1089,ramirjo01,2018,Ramirez,Jose,0.9387225984275389,0.18166089965397925,0.7391304347826086,0.16129032258064516,0.7573529411764706,110,0.2698961937716263,0.25161290322580643,2.0390267618386337,"Jose,Ramirez",0.46009818159553806
